id,concept,count,in_graph
2954,pore size,18,True
2484,microstructural development,18,True
2300,martensite transformation,18,True
2162,laser power,18,True
2161,laser powder bed fusion,18,True
1789,hall petch relationship,18,True
1634,fracture energy,18,True
1603,flow behavior,18,True
1530,fatigue performance,18,True
1517,fatigue crack propagation,18,True
1374,electron beam melting,18,True
1304,dynamic mechanical analysis,18,True
1289,dual phase steel,18,True
1259,dislocation slip,18,True
94,CeO2,17,True
911,compressive stress,17,True
715,carbon content,17,True
691,bulk metallic glass,17,True
674,brittle fracture,17,True
4048,x ray diffractometry,17,True
3934,uniaxial tensile test,17,True
3887,twin boundary,17,True
3742,thermal expansion coefficient,17,True
3629,surface morphology,17,True
3535,stress corrosion cracking,17,True
3533,stress concentration,17,True
2852,photocatalytic activity,17,True
2805,peak stress,17,True
256,OH,17,True
243,NiAl,17,True
2418,metal matrix,17,True
2393,mechanical twinning,17,True
2238,low angle boundary,17,True
2193,light microscopy,17,True
1985,impedance spectroscopy,17,True
1929,hot working,17,True
1462,equiaxed microstructure,17,True
1396,electronic property,17,True
1323,elastic property,17,True
1294,ductile fracture,17,True
1123,deformation band,17,True
1066,crystalline phase,17,True
1032,creep test,17,True
984,crack formation,16,True
864,columnar grain,16,True
426,alloy composition,16,True
3937,uniform elongation,16,True
3306,shot peening,16,True
3184,rolling direction,16,True
3127,recrystallized grain,16,True
3101,rare earth element,16,True
2956,pore structure,16,True
2896,plasma spraying,16,True
2838,phase precipitation,16,True
2691,nucleation site,16,True
2498,microstructural property,16,True
2409,melting temperature,16,True
2407,melting point,16,True
2272,magnetic field,16,True
2184,layer thickness,16,True
1766,grain structure,16,True
1724,grain boundary diffusion,16,True
1633,fracture characteristic,16,True
1589,finite element modeling,16,True
1510,fatigue crack,16,True
1350,electrochemical property,16,True
133,FeAl,16,True
1318,elastic constant,16,True
1244,dislocation interaction,16,True
1069,crystalline structure,16,True
1018,creep property,16,True
988,crack growth rate,15,True
932,contact angle,15,True
731,carbon nanotube reinforcement,15,True
572,austenitic steel,15,True
530,as cast alloy,15,True
516,apparent activation energy,15,True
4012,welding speed,15,True
395,aerospace application,15,True
3874,tribological property,15,True
3733,thermal cycling,15,True
3639,surface tension,15,True
3563,structural application,15,True
347,ZrB2,15,True
3380,solid oxide fuel cell,15,True
3354,slip system,15,True
3343,sintering temperature,15,True
3290,shear modulus,15,True
3190,room temperature,15,True
3175,rheological property,15,True
2843,phase stability,15,True
284,SP,15,True
2827,phase diagram,15,True
2545,molecular weight,15,True
2365,mechanical behaviour,15,True
232,NbC,15,True
2136,lamellar structure,15,True
2083,internal stress,15,True
1941,hydrogen embrittlement,15,True
1788,hall petch relation,15,True
1770,graphene nanoplatelet,15,True
1677,functionally graded material,15,True
1536,fatigue test,15,True
1514,fatigue crack initiation,15,True
1297,duplex stainless steel,15,True
1207,digital image correlation,15,True
1138,deformation microstructure,15,True
981,crack deflection,14,True
826,coarse grain,14,True
67,BaTiO3,14,True
61,B4C,14,True
543,atom probe tomography,14,True
4053,x ray scattering,14,True
399,age hardening,14,True
3954,vicker microhardness,14,True
3926,ultraviolet visible spectroscopy,14,True
3880,true strain,14,True
3768,thermal stress,14,True
3734,thermal decomposition,14,True
3727,thermal behavior,14,True
3686,tensile strain,14,True
3685,tensile specimen,14,True
3677,tensile loading,14,True
3564,structural change,14,True
3554,stress strain behavior,14,True
3548,stress relaxation,14,True
3498,strain hardening behavior,14,True
3490,strain distribution,14,True
3395,solid state reaction,14,True
3331,simulated body fluid,14,True
3224,schmid factor,14,True
3053,pure copper,14,True
3012,precipitation kinetic,14,True
2924,polycrystalline material,14,True
2872,piezoelectric property,14,True
276,SC,14,True
275,SBF,14,True
2548,molten aluminium,14,True
2453,microalloyed steel,14,True
2390,mechanical test,14,True
2326,material science,14,True
2249,low temperature,14,True
1760,grain size distribution,14,True
169,IN718,14,True
1681,fusion zone,14,True
1671,fuel cell,14,True
167,IF,14,True
1523,fatigue failure,14,True
1468,eutectic alloy,14,True
1429,energy dispersive spectroscopy,14,True
1345,electrochemical impedance spectroscopy,14,True
1054,crystal orientation,14,True
90,CaO,13,True
760,cell size,13,True
710,carbide precipitation,13,True
628,bending test,13,True
4028,work hardening behavior,13,True
4021,wide angle x ray scattering,13,True
4003,weld metal,13,True
3927,uniaxial compression,13,True
3898,ultimate strength,13,True
3861,transformation temperature,13,True
386,adiabatic shear band,13,True
3526,strengthening effect,13,True
3487,stored energy,13,True
3456,split hopkinson pressure bar,13,True
3293,shear strain,13,True
3233,secondary phase,13,True
3122,recrystallization kinetic,13,True
3055,pure magnesium,13,True
2992,powder x ray diffraction,13,True
2955,pore size distribution,13,True
2936,polymer matrix,13,True
2933,polymer composite,13,True
2916,point defect,13,True
2868,physicochemical property,13,True
2733,oxidation behavior,13,True
2520,microstructure refinement,13,True
2499,microstructural refinement,13,True
2436,metastable phase,13,True
2215,lithium ion battery,13,True
2173,lattice constant,13,True
2004,in situ synthesis,13,True
1953,hydrostatic pressure,13,True
184,Mg3Al1Zn,13,True
1796,hardness measurement,13,True
176,KOH,13,True
1736,grain boundary strengthening,13,True
1264,dislocation substructure,13,True
1256,dislocation pile up,13,True
122,FIB,13,True
0,316l stainless steel,13,True
811,chemical vapor deposition,12,True
712,carbon black,12,True
623,bcc phase,12,True
56,AlZnMgCu,12,True
4055,x ray tomography,12,True
3988,wear property,12,True
3983,wear behavior,12,True
3935,uniaxial tension,12,True
3928,uniaxial compression test,12,True
3906,ultrafine grain,12,True
3877,trip steel,12,True
3859,transformation induced plasticity,12,True
3808,thin film,12,True
3706,tetragonal phase,12,True
3672,tensile elongation,12,True
3565,structural characterization,12,True
3539,stress exponent,12,True
3499,strain hardening exponent,12,True
3471,static recrystallization,12,True
3360,small angle x ray scattering,12,True
3322,silicon nitride,12,True
3317,silicon carbide particle,12,True
3295,shear stress,12,True
3289,shear localization,12,True
3229,second phase particle,12,True
3042,proof stress,12,True
2818,phase analysis,12,True
269,PU,12,True
2665,nitrogen content,12,True
2504,microstructure change,12,True
2427,metallic glass,12,True
2384,mechanical stability,12,True
2363,mechanical anisotropy,12,True
2191,lead free solder,12,True
197,MgZn,12,True
195,MgY,12,True
1883,high temperature application,12,True
1875,high strength aluminium alloy,12,True
187,MgAl,12,True
1858,high pressure,12,True
1761,grain size effect,12,True
1749,grain orientation,12,True
17,Al3Sc,12,True
1695,geometrically necessary dislocation,12,True
1676,functional property,12,True
1646,fracture strength,12,True
1644,fracture resistance,12,True
1571,field emission scanning electron microscopy,12,True
1566,fibre texture,12,True
154,HCP,12,True
1539,fcc phase,12,True
1533,fatigue resistance,12,True
1527,fatigue limit,12,True
1512,fatigue crack growth rate,12,True
1505,failure mode,12,True
1452,epoxy polymer,12,True
1397,electronic structure,12,True
136,FeC,12,True
132,Fe3O4,12,True
129,Fe2O3,12,True
1254,dislocation network,12,True
1141,deformation process,12,True
1111,damage accumulation,12,True
1099,cyclic deformation,12,True
1052,crystal growth,12,True
1040,critical stress,12,True
1039,critical strain,12,True
1001,crack tip,12,True
972,corrosion property,11,True
957,copper matrix,11,True
917,computer simulation,11,True
846,coherent precipitate,11,True
82,CPTi,11,True
784,ceramic matrix composite,11,True
767,cellular structure,11,True
720,carbon fibre,11,True
692,bulk modulus,11,True
64,BN,11,True
627,bending strength,11,True
574,automotive application,11,True
561,austenite phase,11,True
532,as cast condition,11,True
525,artificial aging,11,True
523,argon atmosphere,11,True
521,aqueous solution,11,True
492,amorphous phase,11,True
47,AlSiC,11,True
409,aging treatment,11,True
4064,yttria stabilized zirconia,11,True
3912,ultrafine grained material,11,True
3876,trip effect,11,True
3853,total elongation,11,True
3828,tissue engineering,11,True
3813,ti6al4v alloy,11,True
3748,thermal gradient,11,True
3679,tensile modulus,11,True
3661,temperature range,11,True
3641,surface treatment,11,True
3599,superplastic deformation,11,True
3552,stress state,11,True
3501,strain induced martensite,11,True
3421,solution heat treatment,11,True
3311,sic particle,11,True
3189,rolling texture,11,True
2970,portland cement,11,True
2968,porous structure,11,True
2942,polymethyl methacrylate,11,True
2931,polylactic acid,11,True
2905,plastic flow,11,True
2830,phase field,11,True
283,SOFC,11,True
2696,numerical model,11,True
2663,nitrogen atmosphere,11,True
2513,microstructure formation,11,True
2506,microstructure characterization,11,True
2493,microstructural investigation,11,True
238,Ni3Al,11,True
2333,matrix alloy,11,True
2291,martensite lath,11,True
2223,loading rate,11,True
2166,laser shock peening,11,True
2119,isothermal hot compression test,11,True
1993,in situ composite,11,True
1910,hot compression,11,True
1850,high energy ball milling,11,True
1763,grain size reduction,11,True
1748,grain morphology,11,True
1582,fine precipitate,11,True
149,H2O,11,True
1412,elongation at break,11,True
127,Fe2Al5,11,True
1231,dislocation climb,11,True
1229,dislocation cell,11,True
1201,diffusion coefficient,11,True
1199,diffusion bonding,11,True
1127,deformation condition,11,True
1013,creep deformation,11,True
993,crack nucleation,10,True
974,corrosion rate,10,True
939,continuous dynamic recrystallization,10,True
927,constitutive model,10,True
916,computed tomography,10,True
913,compressive yield strength,10,True
894,compression strength,10,True
84,CSH,10,True
782,ceramic material,10,True
707,carbide formation,10,True
698,c axis,10,True
689,bulk material,10,True
687,bulk density,10,True
633,binary alloy,10,True
632,bimodal microstructure,10,True
612,basal plane,10,True
49,AlSiMg,10,True
477,aluminium powder,10,True
459,aluminium composite,10,True
435,alloying addition,10,True
408,aging time,10,True
407,aging temperature,10,True
4054,x ray spectroscopy,10,True
4047,x ray diffractometer,10,True
4010,welding parameter,10,True
400,age hardening response,10,True
3993,wear test,10,True
3956,viscoelastic property,10,True
3779,thermodynamic calculation,10,True
3750,thermal history,10,True
3723,thermal annealing,10,True
3710,texture development,10,True
3684,tensile sample,10,True
3583,subgrain boundary,10,True
3540,stress field,10,True
3522,strength increase,10,True
3488,strain amplitude,10,True
3413,solute atom,10,True
3330,simple shear,10,True
3313,sigma phase,10,True
3253,self propagating high temperature synthesis,10,True
3235,seebeck coefficient,10,True
3188,rolling temperature,10,True
3155,residual stress field,10,True
3154,residual stress distribution,10,True
315,TiAl3,10,True
3124,recrystallization temperature,10,True
3073,quenching and partitioning,10,True
3038,processing parameter,10,True
3034,process parameter,10,True
3009,precipitation behavior,10,True
2894,plasma sprayed coating,10,True
2876,pinning effect,10,True
2794,particulate reinforcement,10,True
279,SHPB,10,True
262,PF,10,True
2604,nanocrystalline metal,10,True
2485,microstructural effect,10,True
2381,mechanical property improvement,10,True
2375,mechanical milling,10,True
2367,mechanical characteristic,10,True
2343,matrix material,10,True
2295,martensite phase,10,True
2239,low angle grain boundary,10,True
2213,liquidus temperature,10,True
2168,laser sintering,10,True
2128,kinetic model,10,True
2100,ionic conductivity,10,True
210,Mo5Si3,10,True
2055,interfacial microstructure,10,True
2050,interfacial debonding,10,True
2021,industrial application,10,True
2,3d printing,10,True
1964,hysteresis loop,10,True
1886,high temperature deformation,10,True
175,KIC,10,True
1731,grain boundary precipitate,10,True
1688,gas tungsten arc welding,10,True
162,HVOF,10,True
1431,energy dispersive x ray analysis,10,True
1372,electron backscattering diffraction,10,True
1252,dislocation movement,10,True
1190,differential scanning calorimeter,10,True
1161,dendritic structure,10,True
1157,dendrite arm spacing,10,True
1148,deformation texture,10,True
1075,crystallization temperature,10,True
1065,crystalline material,10,True
102,Cr2O3,10,True
96,CoCrFeMnNi,9,True
952,copper alloy,9,True
91,CaOH2,9,True
903,compressive loading,9,True
874,commercially pure titanium,9,True
871,commercial purity aluminium,9,True
805,chemical property,9,True
797,charpy impact test,9,True
777,cement paste,9,True
76,CNF,9,True
746,catalytic activity,9,True
661,boron addition,9,True
650,bond strength,9,True
615,basal slip,9,True
55,AlZnMg,9,True
522,arc melting,9,True
479,aluminium sheet,9,True
430,alloy microstructure,9,True
4052,x ray powder diffraction,9,True
3971,water absorption,9,True
3962,void nucleation,9,True
3961,void growth,9,True
3960,void formation,9,True
3908,ultrafine grained alloy,9,True
3848,tool steel,9,True
3842,titanium matrix composite,9,True
3790,thermoelectric property,9,True
3770,thermally grown oxide,9,True
3736,thermal diffusivity,9,True
3732,thermal cycle,9,True
3701,tension test,9,True
368,acicular ferrite,9,True
3645,synchrotron x ray diffraction,9,True
3625,surface layer,9,True
3598,superplastic behavior,9,True
3557,stress strain response,9,True
3538,stress distribution,9,True
3464,squeeze casting,9,True
3408,solidification rate,9,True
3375,solar cell,9,True
3371,sol gel,9,True
3329,silver nanoparticle,9,True
3320,silicon content,9,True
3292,shear rate,9,True
3280,shear band formation,9,True
3276,shape memory property,9,True
3250,self diffusion,9,True
3097,rapid solidification,9,True
3059,pure titanium,9,True
3030,prior austenite grain size,9,True
3026,pressureless sintering,9,True
3004,precipitate growth,9,True
293,SnAgCu,9,True
2847,phase transformation temperature,9,True
2829,phase evolution,9,True
2774,particle morphology,9,True
2768,particle dispersion,9,True
2727,orowan strengthening,9,True
2694,numerical analysis,9,True
2683,nuclear magnetic resonance,9,True
2657,nickel titanium shape memory alloy,9,True
2555,monoclinic phase,9,True
2536,moisture content,9,True
2505,microstructure characteristic,9,True
2501,microstructural study,9,True
2500,microstructural stability,9,True
248,NiO,9,True
2368,mechanical characterization,9,True
2359,mean stress,9,True
2351,matrix strength,9,True
2309,martensitic transformation temperature,9,True
2305,martensitic stainless steel,9,True
2282,magnetron sputtering,9,True
226,Na2SO4,9,True
225,Na2O,9,True
2229,local structure,9,True
2211,liquid phase sintering,9,True
2209,liquid phase,9,True
2203,liquid aluminium,9,True
220,NH3,9,True
2180,lattice strain,9,True
2170,laser welding,9,True
2149,laser cladding,9,True
2123,johnson cook model,9,True
2075,intermetallic formation,9,True
2074,intermetallic compound layer,9,True
2056,interfacial property,9,True
1976,impact energy,9,True
1895,high temperature strength,9,True
1885,high temperature creep,9,True
1874,high strength alloy,9,True
1834,heterogeneous nucleation,9,True
1818,heat treated alloy,9,True
1787,hall petch effect,9,True
1643,fracture property,9,True
1618,focused ion beam,9,True
155,HCl,9,True
1489,extruded magnesium alloy,9,True
1403,elemental analysis,9,True
1399,electrophoretic deposition,9,True
1376,electron beam welding,9,True
1366,electron back scatter diffraction,9,True
1342,electrochemical behavior,9,True
1336,electrical resistance,9,True
1303,dynamic material model,9,True
1274,dissolution rate,9,True
116,CuO,9,True
1091,curie temperature,9,True
106,Cu2O,9,True
1056,crystal plasticity,9,True
989,crack growth resistance,8,True
897,compression testing,8,True
822,closed cell aluminium foam,8,True
81,CP,8,True
807,chemical stability,8,True
799,chemical analysis,8,True
741,cast aluminium alloy,8,True
725,carbon nanofiber,8,True
700,calcium addition,8,True
696,burgers vector,8,True
676,brittle material,8,True
604,band gap,8,True
60,B2O3,8,True
595,backscatter diffraction,8,True
555,austenite grain,8,True
553,austenite formation,8,True
496,analytical model,8,True
494,amorphous structure,8,True
480,aluminium silicon alloy,8,True
48,AlSiCu,8,True
443,aluminium addition,8,True
4045,x ray diffraction pattern,8,True
4040,x ray computed tomography,8,True
4007,welded joint,8,True
4004,weld nugget,8,True
3998,weibull statistic,8,True
3985,wear debris,8,True
3977,water quenching,8,True
3947,vacuum sintering,8,True
3897,twip steel,8,True
3889,twin formation,8,True
3818,tic particle,8,True
3800,thermomechanical treatment,8,True
380,additive manufacturing technique,8,True
3773,thermo mechanical processing,8,True
3737,thermal effect,8,True
372,acoustic emission,8,True
3697,tensile yield,8,True
3619,surface finish,8,True
3617,surface energy,8,True
3559,stretch formability,8,True
3556,stress strain relationship,8,True
3530,stress amplitude,8,True
3344,size effect,8,True
3324,silicon particle,8,True
3315,silica nanoparticle,8,True
3284,shear deformation,8,True
328,TiNiCu,8,True
3198,rotational speed,8,True
3145,relative humidity,8,True
3120,recrystallization behavior,8,True
3114,reactive diffusion,8,True
31,AlCuMg,8,True
3088,raman spectra,8,True
3049,pulsed laser deposition,8,True
3043,protective coating,8,True
3015,precipitation process,8,True
2987,powder mixture,8,True
2976,post weld heat treatment,8,True
2951,pore formation,8,True
2929,polygonal ferrite,8,True
2927,polyethylene glycol,8,True
2900,plastic deformation behavior,8,True
2879,pitting corrosion,8,True
2863,physical model,8,True
2836,phase morphology,8,True
2786,particle stimulated nucleation,8,True
2747,oxygen partial pressure,8,True
2743,oxide layer,8,True
2725,orientation imaging microscopy,8,True
2724,organic solvent,8,True
2707,open circuit voltage,8,True
2690,nucleation rate,8,True
2685,nucleation and growth,8,True
2656,nickel titanium alloy,8,True
264,PH,8,True
2625,nanostructured material,8,True
2605,nanocrystalline nickel,8,True
2566,morphological property,8,True
2488,microstructural examination,8,True
2478,microstructural coarsening,8,True
247,NiMnGa,8,True
2403,melt spinning,8,True
2320,material flow,8,True
2299,martensite structure,8,True
2243,low density,8,True
2237,low alloy steel,8,True
2205,liquid metal,8,True
2153,laser engineered net shaping,8,True
2133,lamellar microstructure,8,True
2114,isothermal compression test,8,True
2112,isothermal annealing,8,True
2078,intermetallic particle,8,True
2062,intergranular corrosion,8,True
2054,interfacial layer,8,True
2046,interfacial adhesion,8,True
20,Al4C3,8,True
1986,implant material,8,True
1981,impact strength,8,True
198,MgZn2,8,True
1897,high temperature synthesis,8,True
1872,high strain rate superplasticity,8,True
1863,high resolution electron microscopy,8,True
1862,high purity aluminium,8,True
183,Mg2Sn,8,True
1823,heat treatment condition,8,True
1798,hardness test,8,True
1738,grain coarsening,8,True
1709,glass transition,8,True
166,ICP,8,True
1615,fly ash,8,True
1611,flow stress behavior,8,True
1605,flow instability,8,True
1599,flexural property,8,True
1565,fibre reinforcement,8,True
1561,fibre diameter,8,True
156,HIC,8,True
1558,fiber reinforcement,8,True
1520,fatigue damage,8,True
15,Al3Mg2,8,True
1485,external pressure,8,True
1471,eutectic phase,8,True
146,GaN,8,True
1451,epoxy nanocomposite,8,True
1448,epoxy composite,8,True
1424,energy consumption,8,True
1386,electron probe microanalysis,8,True
1380,electron energy loss spectroscopy,8,True
1330,electric field,8,True
1310,dynamic strain aging,8,True
1295,ductility enhancement,8,True
1247,dislocation loop,8,True
123,FS,8,True
1226,dislocation arrangement,8,True
1219,discontinuous dynamic recrystallization,8,True
1209,diglycidyl ether of bisphenol a,8,True
119,CuZn,8,True
1187,dielectric response,8,True
1175,deposition rate,8,True
1162,densification behavior,8,True
1114,damage mechanism,8,True
1113,damage evolution,8,True
108,Cu6Sn5,8,True
1073,crystallization kinetic,8,True
1048,cryogenic treatment,8,True
1046,cross slip,8,True
1038,critical resolved shear stress,8,True
1017,creep mechanism,8,True
971,corrosion potential,7,True
963,copper substrate,7,True
937,continuous cooling,7,True
914,computational modeling,7,True
885,composite structure,7,True
87,CaCO3,7,True
861,cold working,7,True
842,cobalt precipitation method,7,True
837,coating thickness,7,True
8,Al12Mg17,7,True
773,cellulose nanocrystal,7,True
766,cellular material,7,True
740,cast alloy,7,True
734,carbon steel,7,True
714,carbon concentration,7,True
683,building direction,7,True
653,bonding strength,7,True
646,body fluid,7,True
636,bioactive glass,7,True
622,bcc metal,7,True
619,base metal,7,True
614,basal pole,7,True
599,bainitic ferrite,7,True
587,az91 magnesium alloy,7,True
586,az91 alloy,7,True
584,az31b magnesium alloy,7,True
582,az31 alloy,7,True
565,austenite stability,7,True
541,atom probe,7,True
536,as extruded alloy,7,True
533,as cast microstructure,7,True
